name,careers_url,ats_type,list_item,title,apply_url,location
01Synergy,http://01synergy.com/careers,custom,"div[class*=""col"" i]",h2,a[href]@href,
Aimdek Technologies,http://aimdek.com/careers,custom,"div[class*=""job"" i]",h4,a[href]@href,
Ajackus,https://www.ajackus.com/careers,custom,"div[class*=""col"" i]","[class*=""title"" i]",a[href]@href,
Akoode Technologies,https://www.akoode.com/career,custom,"div[class*=""col"" i]",h2,a[href]@href,"[class*=""city"" i]"
Aktiv Software,http://www.aktivsoftware.com/career,custom,"div[class*=""col"" i]",h3,a[href]@href,
Albiorix Technology Private Limited,https://www.albiorixtech.com/careers,custom,"div[class*=""opening"" i]",h5,a[href]@href,
Appeak Technologies LLP,https://appeaktech.com/careers,custom,li,h5,a[href]@href,
AppTrait Solutions,http://apptraitsolutions.com/jobs,playwright,"div[class*=""job"" i]",h4,a[href]@href,"[class*=""location"" i]"
Arieotech,https://www.arieotech.com/careers,custom,"[class*=""careers"" i] li","[class*=""position"" i]",a[href]@href,"[class*=""location"" i]"
Ascent24 Technologies,https://www.ascent24.io/careers,custom,"div[class*=""career"" i]",h3,a[href]@href,
Ashapura Softech,https://ashapurasoftech.com/careers,custom,li,"[class*=""title"" i]",a[href]@href,
Askgalore Digital,https://askgalore.com/career,custom,li,h3,a[href]@href,
Augurs Technologies Private Limited,https://www.augurs.in/career,custom,.card,h2,a[href]@href,
Avlia IT Solution,https://avliaitsolution.com/career,custom,"div[class*=""position"" i]",h3,a[href]@href,
Beyond Key,http://www.beyondkey.com/careers.html,playwright,article,h3,a[href]@href,
Black Kite Technologies,https://blackkitetechnologies.com/career,custom,"li[class*=""position"" i]","[class*=""position"" i]",a[href]@href,"[class*=""location"" i]"
Bloom Consulting Services,https://bloomcs.com/careers,custom,"div[class*=""job"" i]",h2,a[href]@href,
Bonami Software,https://bonamisoftware.com/careers,playwright,"div[class*=""job"" i]",h3,a[href]@href,
BoTree Technologies Pvt. Ltd.,https://www.botreetechnologies.com/careers,playwright,"div[class*=""job"" i]",a,a[href]@href,
Browseinfo,https://www.browseinfo.com/jobs,custom,.card,h3,a[href]@href,
Chapter247 Infotech,http://www.chapter247.com/careers,playwright,"div[class*=""col"" i]",h4,a[href]@href,
Citrusbug Technolabs,https://citrusbug.com/career,custom,"div[class*=""career"" i]",h2,a[href]@href,
Closeloop Technologies,https://closeloop.com/careers,custom,"div[class*=""col"" i]","[class*=""title"" i]",a[href]@href,
Codexoro Technologies LLP,https://codexoro.com/careers,custom,"div[class*=""col"" i]",h2,a[href]@href,
Codezilla Technology and Consultancy Pvt Ltd.,https://codezilla.io/career,custom,"div[class*=""col"" i]","[class*=""title"" i]",a[href]@href,"[class*=""city"" i]"
Concetto Labs,https://www.concettolabs.com/careers,custom,"div[class*=""career"" i]",h2,a[href]@href,
Crescaler,https://crescaler.com/career,custom,"article[class*=""job"" i]",h3,a[href]@href,
CSM Technologies,https://www.csm.tech/career,custom,"div[class*=""job"" i]","[class*=""title"" i]",a[href]@href,"[class*=""location"" i]"
Cybernative Technologies Pvt. Ltd.,https://www.cybernativetech.com/careers,custom,"div[class*=""position"" i]",h3,a[href]@href,
Dash Technologies,http://www.dashtechinc.com/jobs,playwright,"div[class*=""job"" i]",h4,a[href]@href,
Deific India Group,https://deificdigital.com/careers,playwright,"div[class*=""col"" i]",h4,a[href]@href,"[class*=""city"" i]"
Delhivery,https://www.delhivery.com/careers,playwright,"div[class*=""job"" i]",a,a[href]@href,
Dezdok,https://dezdok.com/careers,custom,"[class*=""careers"" i] li",a,a[href]@href,
Digi Carotene,http://www.digicarotene.com/jobs,custom,"div[class*=""job"" i]",h2,a[href]@href,"[class*=""location"" i]"
Digimonk Technologies,http://digimonk.in/career,custom,"div[class*=""job"" i]","[class*=""title"" i]",a[href]@href,"[class*=""location"" i]"
Dot Com Infoway,https://www.dotcominfoway.com/careers,playwright,"[class*=""careers"" i] li",a,a[href]@href,
DreamzTech Solutions Inc.,https://www.dreamztech.com/careers,custom,"div[class*=""position"" i]","[class*=""title"" i]",a[href]@href,
Drish Infotech Ltd,https://www.drishinfo.com/jobs,custom,"article[class*=""job"" i]",h3,a[href]@href,
Drisha Technologies,https://drishatechnologies.com/careers,custom,"div[class*=""job"" i]","[class*=""title"" i]",a[href]@href,
Druva,https://www.druva.com/careers,playwright,"div[class*=""col"" i]",h2,a[href]@href,
Emipro Technologies Pvt Ltd,https://www.emiprotechnologies.com/jobs,custom,"div[class*=""job"" i]",a,a[href]@href,
Emizen Tech Pvt Ltd,https://emizentech.com/careers,custom,"div[class*=""career"" i]",h3,a[href]@href,
Enstacked Technologies,https://enstacked.com/careers,custom,"[class*=""careers"" i] li",a,a[href]@href,
Etelligens Technologies Pvt Ltd,http://etelligens.com/career,custom,"div[class*=""job"" i]",h2,a[href]@href,
Expert Code Lab,http://www.expertcodelab.com/career,custom,li,h4,a[href]@href,
Extended Web AppTech LLP,http://www.extwebtech.com/career,playwright,"li[class*=""position"" i]",a,a[href]@href,
Galaxy Weblinks,https://www.galaxyweblinks.com/careers,playwright,"[class*=""careers"" i] li","[class*=""title"" i]",a[href]@href,
Golden Eagle IT Technologies,https://goldeneagle.ai/career,custom,"div[class*=""career"" i]",h4,a[href]@href,
GOTESO,http://www.goteso.com/career,custom,"div[class*=""col"" i]",a,a[href]@href,
Graffersid,https://graffersid.com/careers,custom,"[class*=""jobs"" i] li",a,a[href]@href,
Gravity Engineering Services,https://www.gravityer.com/careers,custom,"div[class*=""col"" i]",h3,a[href]@href,
