name,careers_url,reason
75WAY TECHNOLOGIES PRIVATE LIMITED,https://75way.com/careers,no_match
9series Inc,https://www.9series.com/careers,no_match
A3Logics,https://www.a3logics.com/careers,no_match
Aalpha Information Systems India Pvt. Ltd.,https://www.aalpha.net/careers,no_match
AAPGS PRIVATE LIMITED,https://aapgs.com/careers,no_match
Aara Technologies,https://aaratechnologies.com/careers,no_match
Accubits,https://accubits.com/career,no_match
Acquiscent Technologies Pvt Ltd,http://www.acquiscent.com/careers,no_match
AdaptNXT Technology Solutions,https://adaptnxt.com/careers,no_match
Addon Solutions Pvt Ltd.,http://www.addonsolutions.com/careers,no_match
ADSTRA DIGITAL,https://adstradigital.com/career,no_match
Advantal Technologies Pvt Ltd,https://advantaltechnologies.com/careers,no_html
Agicent Technologies Pvt. ltd.,http://www.agicent.com/careers,no_match
Agile Infoways LLC,http://www.agileinfoways.com/careers,no_match
AIVEDA,https://aiveda.io/careers,no_match
Alliance Web Solution Pvt Ltd,https://www.indiainternets.com/careers.html,no_match
AllianceTek,https://www.alliancetek.com/careers,no_match
Ancile Technologies Pvt Ltd,http://anciletech.com/careers,no_match
Aneka Labs Private Limited,https://anekalabs.com/careers,no_match
Anviam Solutions,https://anviam.com/career,no_match
AppDesk Services Pvt. Ltd.,https://www.appdeskservices.com/career,no_match
AppSquadz Software Private Limited,https://www.appsquadz.com/careers,no_match
Appventurez,https://www.appventurez.com/careers,no_match
ApuzzTech,https://apuzztech.com/careers,no_match
AResourcePool,https://www.aresourcepool.com/careers,no_match
Associative,https://associative.in/career,no_match
Aum Solutions,https://aum-solutions.com/careers,no_match
Banao Technologies,https://banao.tech/careers,no_match
BharatPe,https://www.bharatpe.com/careers,no_match
Binaryfolks Pvt. Ltd.,http://www.binaryfolks.com/career,no_match
BitCS,https://bitcs.in/career,no_match
BITLYZE TECHNOLOGIES PRIVATE LIMITED,https://www.bitlyze.com/career,no_match
BitsNPixs,https://www.bitsnpixs.com/jobs,no_match
Biz4Solutions LLC,https://www.biz4solutions.com/careers,no_match
Bizople Solutions Pvt. Ltd.,https://www.bizople.com/careers,no_match
Biztacs Technology,http://biztacs.com/career,no_match
Bluetech,http://www.bluetech.co.in/careers,no_match
Brainerhub,https://www.brainerhub.com/career,no_match
Brainstack Technologies,https://brainstacktechnologies.com/careers,no_match
Brand Metrics Fintech Pvt Ltd,https://www.brandmetrics.in/careers,no_match
Bridgecode Technologies LLP,http://www.thebridgecode.com/careers,no_match
BrowserStack,https://www.browserstack.com/careers,no_match
BSEtec,https://www.bsetec.com/careers,no_match
Budventure Technologies Pvt. Ltd.,http://www.budventure.technology/career,no_match
BuzzyBrains software (I) Pvt. Ltd,https://www.buzzybrains.com/careers,no_match
Calibraint,https://www.calibraint.com/careers,no_match
Canopus Infosystems,http://canopusinfosystems.com/careers,no_match
Capanicus,http://www.capanicus.com/careers,no_match
Cars24,https://www.cars24.com/careers,no_match
Chargebee,https://www.chargebee.com/careers,no_match
Clarion Technologies,https://www.clariontech.com/careers,no_match
Clementius LLP,https://www.clementius.com/careers/,no_match
Climbax Entertainment Private Limited,https://www.climbaxentertainment.com/career,no_match
Cloudesign Technology Solutions LLP,https://www.cloudesign.com/careers,no_match
Cloudnic Soft LLP,https://cloudnic.com/careers,no_match
Code Garage,https://codegaragetech.com/careers,no_match
Code-B Solutions,https://code-b.dev/career,no_match
CODEEDOC,https://codeedoc.com/career,no_match
Codescastle Software Pvt. Ltd.,http://codescastle.com/careers,no_match
Codewinglet Private Limited,https://www.codewinglet.com/jobs,no_html
Coforge,https://www.coforge.com/careers,no_html
Coherent Lab LLP,https://www.coherentlab.com/career,no_match
Colan Infotech Private Limited,https://colaninfotech.com/career,no_match
Copperchips,https://copperchips.com/hiring,no_match
Coretus Technologies,https://www.coretus.com/career,no_match
Crest Coder,https://www.crestcoder.com/careers,no_match
Creware Technologies Pvt,https://creware.asia/careers,no_match
Cubet Techno Labs,http://cubettech.com/careers,no_match
Cyber Infrastructure Inc.,https://www.cisin.com/careers,no_match
cyberneusys,http://www.cyberneusys.com/careers,no_match
Cyberswind Technologies,https://www.cyberswindtech.com/careers,no_match
Damco Solutions,https://www.damcogroup.com/careers,no_match
DataByteWorks,https://databyteworks.com/careers,no_match
Day One Technologies,https://www.day1tech.com/careers,no_match
Debut Infotech,https://www.debutinfotech.com/career,no_match
Decipher Zone Technologies Pvt Ltd,http://decipherzone.com/career,no_match
Deorwine Infotech,https://deorwine.com/careers,no_match
Deqode,http://deqode.com/career,no_match
Designoweb Technologies Pvt. Ltd.,https://designoweb.com/career,no_match
Destm Technologies,https://destm.com/careers,no_match
Deuex Solutions Pvt. Ltd.,https://deuexsolutions.com/careers,no_match
Devstree IT Solutions,https://devstree.com/career,no_match
Dexoc,https://dexoc.com/career,no_match
DianApps Technologies Pvt. Ltd.,https://dianapps.com/jobs,no_match
Digital AIML Systems Pvt Ltd,https://digitalaiml.com/careers,no_match
Digital Marketing Lab,https://www.digitalmarketinglab.co.in/careers,no_match
Digital Mesh,https://www.digitalmesh.com/careers,no_match
Digittrix,https://digittrix.com/careers,no_match
Diziwings Technologies Pvt Ltd,https://diziwings.com/careers,no_match
DRC Systems India Private Limited,https://www.drcsystems.com/careers,no_match
Dream11,https://www.dream11.com/careers,no_match
DunRite Technologies,https://www.dunritetech.com/careers,no_match
EBC TECH SERV PVT LTD,https://www.ebctspl.com/careers.html,no_match
EchoForge Cloud private limited,https://www.echoforgecloud.com/careers,no_match
eClicknTech,https://www.eclickntech.com/career,no_match
Encanto Technologies,https://encantotek.com/careers,no_match
Endurance Softwares,http://endurancesoftwares.com/careers,no_html
Eqaim Technology & Services Pvt. Ltd.,https://www.eqaim.com/career,no_match
Esferasoft Solutions Pvt. Ltd.,http://www.esferasoft.com/career,no_match
Euphoric Thought Technologies,http://www.euphoricthought.com/career,no_match
Everon Lab,https://everonlab.in/careers,no_match
Evozard Consulting Services Pvt Ltd,https://www.evozard.com/careers,no_match
Excellis IT Pvt.Ltd,https://www.excellisit.com/career,no_match
Excent Solutions,https://www.excentsolutions.com/careers,no_match
Extern Labs,https://externlabs.com/careers,no_match
FinByz Tech Pvt Ltd,https://finbyz.tech/careers,no_match
"Finoit Technologies, Inc",https://www.finoit.com/careers,no_match
Flux8labs,https://flux8labs.com/careers,no_match
Freshworks,https://www.freshworks.com/careers,no_match
Fusion Informatics Limited,https://www.fusioninformatics.com/careers,no_match
Futuresoft India,https://futuresoftindia.com/careers,no_match
fxis.ai,https://fxis.ai/careers,no_match
GeekSpoc IT Services,https://geekspoc.com/careers,no_match
Girman Technologies Pvt. Ltd.,https://www.girmantech.com/career,no_match
GoDigitley,http://www.godigitley.com/career,no_match
Grandiose Digital Media,https://www.grandiosedigitalmedia.com/careers,no_match
Grawlix Software Private Limited,https://grawlixsoft.com/careers,no_match
Great Future Technology Private Limited,https://gftpl.in/career,no_match
Groww,https://groww.in/careers,no_match
Gupshup,https://www.gupshup.io/careers,no_match
HASHCOVET,https://hashcovet.com/career,no_match
HashedIn,https://hashedin.com/careers,no_match
Hashtrust Technologies,https://hashtrust.in/careers,no_match
Hasura,https://hasura.io/careers,no_match
HCLTech,https://www.hcltech.com/careers,no_html
Heureux Software Solutions (P) Ltd.,http://www.heureuxsoftware.com/career,no_match
Hiteshi,https://www.hiteshi.com/career,no_match
i-Verve Inc,https://i-verve.com/careers,no_match
Icertis,https://www.icertis.com/careers,no_match
IJAGER TECHNOLOGIES PRIVATE LIMITED,https://www.ijager.com/careers,no_match
IMG Global Infotech Pvt. Ltd,https://www.imgglobalinfotech.com/career,no_match
IndaPoint Technologies Pvt. Ltd.,https://www.indapoint.com/careers,no_match
Indi IT Solutions,https://indiit.com/career,no_match
IndiaNIC,https://www.indianic.com/careers,no_match
INEXTURE Solutions,https://www.inexture.com/career,no_match
Infograins,https://infograins.com/careers,no_match
Infoxen,https://www.infoxen.com/career,no_match
Infylo Techsolutions Ltd,https://infylo.com/careers,no_match
InnoApps Technologies Pvt. Ltd,https://www.innoappstech.com/careers,no_match
Innogent Technologies,https://innogent.in/careers,no_match
Innostax,https://innostax.com/careers,no_match
Innovaccer,https://innovaccer.com/careers,no_match
Inshasis Technologies,https://inshasis.com/careers,no_match
Instinctools,https://www.instinctools.com/career,no_match
Inventco Software,https://www.inventcolabssoftware.com/career,no_match
Inventiple,https://www.inventiple.com/careers,no_match
ITC Infotech,https://www.itcinfotech.com/career,no_match
Itmarkerz Technologies,http://www.itmarkerz.co.in/careers,no_match
ITXITPRO PVT. LTD.,http://itxitpro.com/career,no_match
ixigo,https://www.ixigo.com/careers,no_match
Jawam Infotech,https://jawaminfotech.com/careers,no_match
JKSOFTEC,https://jksoftec.com/careers,no_match
JS Techno Solutions Pvt. Ltd.,https://jstechno.com/careers,no_match
Kadam Technologies Pvt. Ltd.,http://www.kadamtech.com/careers,no_match
KEYSS Inc,https://keyssinc.com/careers,no_html
KiwiTech,https://www.kiwitech.com/careers,no_match
Krazimo Private Limited,https://krazimo.ai/careers,no_match
Kryptoninc,http://kryptoninc.co/careers,no_match
Linea Digitech,https://lineadigitech.com/careers,no_match
Linearloop Private Limited,https://www.linearloop.io/careers,no_match
LTIMindtree,https://www.ltimindtree.com/careers,no_match
Markovate,https://markovate.com/careers,no_match
Maticz Technologies,https://maticz.com/careers,no_match
Matrix Infotech Solution,https://matrixinfotechsolution.com/careers,no_match
Mayura Consultancy Services (MCS),https://www.mayuraconsultancy.com/careers,no_match
Metric Tree Labs,https://metrictreelabs.com/careers,no_match
Micropyramid Informatics Pvt Ltd,https://micropyramid.com/jobs,no_match
Mindfire Solutions,http://www.mindfiresolutions.com/career,no_match
Miracuves Solution,https://miracuves.com/careers,no_match
Mobiweb Technologies Pvt Ltd,https://www.mobiwebtech.com/careers,no_match
Mxicoders,https://www.mxicoders.com/career,no_match
My Virtual Teams,http://myvirtualteams.com/careers,no_match
MYCLOUDPULSE TECHNOLOGY PRIVATE LIMITED,https://mycloudpulse.com/careers,no_match
Nadcab Labs,https://www.nadcab.com/career,no_match
Naveck Technologies,https://www.naveck.com/hiring,no_match
Navi,https://navi.com/careers,no_match
Netedge Technology,https://www.netedgetechnology.com/jobs,no_match
Networsys Technologies LLP,https://www.networsys.com/career,no_match
Next Big Technology(NBT),http://nextbigtechnology.com/jobs,no_match
NextAstra Technologies,https://nextastra.com/career,no_match
NMT Technologies,https://www.nmttechnologies.com/careers,no_match
NorthLogics,https://northlogics.tech/careers.html,no_match
ocius technologies,https://www.ociustechnologies.com/career,no_match
Octos Global Solutions,http://octosglobal.com/careers,no_match
Offshore IT Staffing,http://www.offshoreitstaffing.com/careers,no_match
Ola Cabs,https://www.olacabs.com/careers,no_match
Ola Electric,https://www.olaelectric.com/careers,no_match
Omninos solutions,https://omninos.com/career,no_match
Ontoborn Technologies LLC,https://ontoborn.com/jobs,no_match
Orangedice Solutions FZC LLC,https://www.orangedice.ae/careers,no_match
Orion eSolutions Pvt. Ltd.,https://www.orionesolutions.com/careers,no_match
OweBest Technologies,http://www.owebest.com/career,no_match
ownAI Solutions,http://www.ownai.net/careers,no_match
Pace Wisdom Solutions,http://pacewisdom.com/careers,no_match
Parallel Team Technologies Private Limited,https://parallelteam.com/careers,no_match
Paytm,https://paytm.com/careers,no_match
PEARL ORGANISATION,https://www.pearlorganisation.com/careers,no_match
Peerbits,http://www.peerbits.com/careers.html,no_match
PerfectionGeeks Technologies,https://www.perfectiongeeks.com/careers,no_match
Persistent Systems,https://www.persistent.com/careers,no_html
PhonePe,https://www.phonepe.com/careers,no_match
Pine Labs,https://www.pinelabs.com/careers,no_match
Pixel Values Technolabs,https://www.pixelvalues.com/careers,no_match
Pixeltoworld,https://pixeltoworld.com/careers,no_match
Plexoc Solutions Pvt. Ltd.,https://plexoc.com/career,no_match
Plexusbit Software,http://plexusbit.com/career,no_match
PlusInfoLab,https://plusinfolab.com/career,no_match
PolicyBazaar,https://www.policybazaar.com/careers,no_html
Postman Labs,https://www.getpostman.com/careers,no_match
Pragmatyc,https://www.pragmatyc.com/careers,no_match
Probey Services,https://probeyservices.com/careers,no_match
Probytes,http://www.probytes.net/careers,no_match
Prolitus Technologies,https://www.prolitus.com/careers,no_match
Protonshub Technologies,https://www.protonshub.com/careers,no_match
Protovo Solutions LLP,https://www.protovosolutions.com/careers,no_match
Purgesoft,http://www.purgesoft.com/careers,no_match
Pyther Innovations Private Limited,https://www.pyther.com/career,no_match
Quacklabs Technologies,https://www.quacklabs.in/careers,no_match
