index,style,score_pct,score5_pct,score8_pct,preview
0,Normal,0.0,0.0,0.0,IV. Experimental results
1,Normal,0.0,0.0,0.0,"During Kharif-2025, morphological characterization was undertaken on 102 cowpea germplasm accessions together with five standard checks—C-152, KBC-2, KBC-9, IT-38956-11, and a loca"
2,Normal,0.0,0.0,0.0,The following section represents the results obtained from the present study under the following headings:
3,List Paragraph,0.0,0.0,0.0,To study the genetic variability for grain yield and its attributing quantitative traits.
4,List Paragraph,0.0,0.0,0.0,To study the genetic divergence and associationship between grain yield and its attributing quantitative traits.
5,List Paragraph,0.0,0.0,0.0,To study the seed morphometric and quality traits of cowpea genotypes.
6,Normal,0.0,0.0,0.0,4.1 To study the genetic variability for grain yield and its attributing quantitative traits.
7,List Paragraph,0.0,0.0,0.0,"A total of 102 cowpea germplasm lines plus five check cultivars were field-evaluated in Kharif-2025 under an Augmented Randomized Block Design (ARBD) comprising six blocks, with th"
8,Normal,0.0,0.0,0.0,4.1.1. Analysis of variance.
9,Normal,0.0,0.0,0.0,4.1.2. Genetic variability analysis for seed yield and its attributing traits.
10,Normal,0.0,0.0,0.0,4.1.3. Principal component analysis for seed yield and its attributing traits.
13,Normal,0.0,0.0,0.0,4.1.1 Analysis of variance (ANOVA)
14,Normal,0.0,0.0,0.0,Analysis of variance (ANOVA) constitutes a robust statistical procedure for testing whether mean values differ significantly across experimental groups. For twelve quantitative cha
15,Normal,0.0,0.0,0.0,"The ANOVA further revealed significant genotypic effects for all traits under study, while treatment, check, and check-versus-test-entry contrasts were also significant for the maj"
16,Normal,0.0,0.0,0.0,4.1.2. Genetic variability analysis for seed yield and its attributing traits.
17,Normal,0.0,0.0,0.0,Genetic variability underpins every crop improvement initiative because it supplies the raw material from which superior genotypes with desirable agronomic attributes can be identi
18,Normal,0.0,0.0,0.0,"When broad-sense heritability is high and accompanied by substantial genetic advance, additive gene action is generally inferred to predominate; under such circumstances, direct ph"
19,Default,0.0,0.0,0.0,"Accordingly, the present investigation estimated variability parameters—including mean, range, GCV, PCV, heritability (h²), and GAM—for all yield-contributing characters across 107"
20,Normal,0.0,0.0,0.0,4.1.2.1. Days to 50 per cent flowering
21,Normal,0.0,0.0,0.0,"Across the 107 cowpea genotypes, days to 50 per cent flowering (DFF) spanned 38 to 62 days and averaged 44 days, demonstrating meaningful genetic spread in the timing of reproducti"
22,Normal,0.0,0.0,0.0,Consistent patterns of moderate variability coupled with high heritability and genetic advance for DFF have been reported by Panchta et al. (2020) in their cowpea diversity panels.
23,Normal,0.0,0.0,0.0,4.1.2.2. Days to physiological maturity
24,Normal,0.0,0.0,0.0,"Days to physiological maturity (DM) varied from 80 to 108 days with a population mean of 90 days. Both PCV (5.21%) and GCV (5.16%) were comparatively low, and the negligible differ"
25,Normal,0.0,0.0,0.0,"Selection for shorter or longer crop duration remains feasible, though substantial genetic gains will require crossing parents that differ markedly in maturity. Owusu et al. (2022)"
29,Normal,0.0,0.0,0.0,4.1.2.3. Plant height (cm)
30,Normal,0.0,0.0,0.0,"Plant height ranged from 31.46 cm to 94.31 cm with a mean of 64.5 cm among the evaluated genotypes. The trait registered high GCV (21.08%) and PCV (21.12%), broad-sense heritabilit"
31,Normal,0.0,0.0,0.0,The narrow PCV–GCV interval further corroborates limited environmental influence on plant height in this study. Poornima et al. (2023) documented comparable high heritability and g
32,Normal,0.0,0.0,0.0,4.1.2.4. Number of branches per plant
33,Normal,0.0,0.0,0.0,"Number of branches per plant among the 107 genotypes extended from 3 to 14, averaging 8 branches. High GCV (27.19%) and PCV (27.33%) were accompanied by broad-sense heritability of"
34,Normal,0.0,0.0,0.0,"Environmental effects on branch number were evidently small given the tight correspondence between GCV and PCV, and a large fraction of the phenotypic variance was genetically heri"
35,Normal,0.0,0.0,0.0,4.1.2.5. Seed length (mm)
36,Normal,0.0,0.0,0.0,Seed length in the present material ranged from 4.84 mm to 9.74 mm with a mean of 6.80 mm. Moderate GCV (10.03%) and PCV (10.97%) indicated substantial genetic contribution to leng
37,Normal,0.0,0.0,0.0,"Seed length therefore retains sufficient heritable variation for targeted improvement, although breeders should anticipate gradual rather than step-change progress. Porbeni et al. "
38,Normal,0.0,0.0,0.0,4.1.2.6. Seed breadth (mm)
39,Normal,0.0,0.0,0.0,"Seed breadth among the 107 genotypes ranged from 3.86 mm to 7.25 mm, averaging 5.04 mm. Low GCV (9.22%) and moderate PCV (10.78%)—with PCV exceeding GCV more noticeably than for mo"
40,Normal,0.0,0.0,0.0,Porbeni et al. (2017) documented similar environmental sensitivity for seed breadth in cowpea. Yasin et al. (2021) reported moderate heritability with limited genetic advance for t
41,Normal,0.0,0.0,0.0,4.1.2.7. Seed thickness (mm)
42,Normal,0.0,0.0,0.0,Seed thickness ranged from 3.51 mm to 8.10 mm with a mean of 4.06 mm. Moderate GCV (10.94%) and PCV (12.16%) with a narrow gap between them reflected moderate environmental influen
43,Normal,0.0,0.0,0.0,Porbeni et al. (2017) reported parallel genetic parameters for seed thickness in cowpea diversity studies. Thapa et al. (2021) confirmed moderate GCV and high heritability for this
45,Normal,0.0,0.0,0.0,4.1.2.8. Seed weight (g)
46,Normal,0.0,0.0,0.0,Seed weight spanned 7.42 g to 22.17 g with a mean of 9.75 g in the present investigation. Moderate GCV (17.88%) and PCV (18.94%) with a small PCV–GCV difference indicated relativel
47,Normal,0.0,0.0,0.0,"Because seed weight contributes directly to harvest index and market grade, genotypes with superior hundred-seed weight can be identified reliably through phenotypic screening. Dif"
48,Normal,0.0,0.0,0.0,4.1.2.9. Pod length (cm)
49,Normal,0.0,0.0,0.0,"Pod length among the 107 genotypes ranged from 10.36 cm to 19.68 cm, averaging 14.44 cm. Moderate GCV (10.32%) and PCV (10.77%) together with high heritability (91.84%) and GAM (20"
50,Normal,0.0,0.0,0.0,"Because pod length determines the physical space available for seed set, genotypes with longer pods are attractive as parents for improving yield-related traits. Extended pod cavit"
51,Normal,0.0,0.0,0.0,4.1.2.10. Number of pods per plant
52,Normal,0.0,0.0,0.0,"Number of pods per plant (NPPP) varied from 11 to 18 with a mean of 13 pods. The trait showed moderate GCV (10.78%) and PCV (11.40%), high heritability (89.37%), and GAM (21.02%), "
53,Normal,0.0,0.0,0.0,"The small GCV–PCV difference confirms limited environmental influence on pod number per plant. Because NPPP is a direct component of seed yield, the combination of high heritabilit"
54,Normal,0.0,0.0,0.0,4.1.2.11. Number of seeds per pod
55,Normal,0.0,0.0,0.0,Number of seeds per pod (NSPP) ranged from 12 to 25 with an average of 15 seeds per pod across the evaluated genotypes. Moderate GCV (11.41%) and PCV (11.86%) suggested very limite
56,Normal,0.0,0.0,0.0,High heritability coupled with high genetic advance implies that phenotypic selection for increased NSPP will be effective in the present germplasm. As a key determinant of per-pod
57,Normal,0.0,0.0,0.0,4.1.2.12. Grain yield per ha (kg/ha)
58,Normal,0.0,0.0,0.0,"Grain yield per hectare (GY) ranged from 397.04 to 1891.2 kg/ha with a mean of 841.41 kg/ha. High GCV (33.09%) and PCV (40.04%) reflected substantial genotypic variability, and the"
59,Normal,0.0,0.0,0.0,"The joint occurrence of high heritability and high GAM suggests that meaningful yield improvement is achievable through selection, provided that environmental interactions are acco"
60,Normal,0.0,0.0,0.0,4.1.3. Principal component analysis for seed yield and its attributing traits.
